id;closed
44826;1
44827;1
44828;1
44829;1
44830;1
44831;1
44832;1
44833;1
44834;1
44835;1
44836;1
44837;1
44838;1
44839;1
44840;1
44841;1
44842;1
44843;1
44844;1
44845;1
44846;1
44847;1
44848;1
44849;1
44850;1
44851;1
44852;1
44853;1
44854;1
44855;1
44856;1
44857;1
44858;1
44859;1
44860;1
44861;1
44862;1
44863;1
44864;1
44865;1
44866;1
44867;1
44868;1
44869;1
44870;1
44871;1
44872;1
44873;1
44874;1
44875;1
44876;1
44877;1
44878;1
44879;1
44880;1
44881;1
44882;1
44883;1
44884;1
44885;1
44886;1
44887;1
44888;1
44889;1
44890;1
44891;1
44892;1
44893;1
44894;1
44895;1
44896;1
44897;1
44898;1
44899;1
44900;1
44901;1
44902;1
44903;1
44904;1
44905;1
44906;1
44907;1
44908;1
44909;1
44910;1
44911;1
44912;1
44913;1
44914;1
44915;1
44916;1
44917;1
44918;1
44919;1
44920;1
44921;1
44922;1
44923;1
44924;1
44925;1
44926;1
44927;1
44928;1
44929;1
44930;1
44931;1
44932;1
44933;1
44934;1
44935;1
44936;1
44937;1
44938;1
44939;1
44940;1
44941;1
44942;1
44943;1
44944;1
44945;1
44946;1
44947;1
44948;1
44949;1
44950;1
44951;1
44952;1
44953;1
44954;1
44955;1
44956;1
44957;1
44958;1
44959;1
44960;1
44961;1
44962;1
44963;1
44964;1
44965;1
44966;1
44967;1
44968;1
44969;1
44970;1
44971;1
44972;1
44973;1
44974;1
44975;1
44976;1
44977;1
44978;1
44979;1
44980;1
44981;1
44982;1
44983;1
44984;1
44985;1
44986;1
44987;1
44988;1
44989;1
44990;1
44991;1
44992;1
44993;1
44994;1
44995;1
44996;1
44997;1
44998;1
44999;1
45000;1
45001;1
45002;1
45003;1
45004;1
45005;1
45006;1
45007;1
45008;1
45009;1
45010;1
45011;1
45012;1
45013;1
45014;1
45015;1
45016;1
45017;1
45018;1
45019;1
45020;1
45021;1
45022;1
45023;1
45024;1
45025;1
45026;1
45027;1
45028;1
45029;1
45030;1
45031;1
45032;1
45033;1
45034;1
45035;1
45036;1
45037;1
45038;1
45039;1
45040;1
45041;1
45042;1
45043;1
45044;1
45045;1
45046;1
45047;1
45048;1
45049;1
45050;1
45051;1
45052;1
45053;1
45054;1
45055;1
45056;1
45057;1
45058;1
45059;1
45060;1
45061;1
45062;1
45063;1
45064;1
45065;1
45066;1
45067;1
45068;1
45069;1
45070;1
45071;1
45072;1
45073;1
45074;1
45075;1
45076;1
45077;1
45078;1
45079;1
45080;1
45081;1
45082;1
45083;1
45084;1
45085;1
45086;1
45087;1
45088;1
45089;1
45090;1
45091;1
45092;1
45093;1
45094;1
45095;1
45096;1
45097;1
45098;1
45099;1
45100;1
45101;1
45102;1
45103;1
45104;1
45105;1
45106;1
45107;1
45108;1
45109;1
45110;1
45111;1
45112;1
45113;1
45114;1
45115;1
45116;1
45117;1
45118;1
45119;1
45120;1
45121;1
45122;1
45123;1
45124;1
45125;1
45126;1
45127;1
45128;1
45129;1
45130;1
45131;1
45132;1
45133;1
45134;1
45135;1
45136;1
45137;1
45138;1
45139;1
45140;1
45141;1
45142;1
45143;1
45144;1
45145;1
45146;1
45147;1
45148;1
45149;1
45150;1
45151;1
45152;1
45153;1
45154;1
45155;1
45156;1
45157;1
45158;1
45159;1
45160;1
45161;1
45162;1
45163;1
45164;1
45165;1
45166;1
45167;1
45168;1
45169;1
45170;1
45171;1
45172;1
45173;1
45174;1
45175;1
45176;1
45177;1
45178;1
45179;1
45180;1
45181;1
45182;1
45183;1
45184;1
45185;1
45186;1
45187;1
45188;1
45189;1
45190;1
